id,age,job,marital,education,defaultloan,housingloan,loan
30691,20,blue-collar,married,basic.4y,no,no,yes
4486,20,student,single,basic.9y,no,no,no
4559,20,student,single,high.school,no,no,no
8810,20,technician,single,professional.course,no,yes,no
4386,20,student,single,unknown,no,yes,no
4404,20,student,single,high.school,no,yes,no
4098,20,student,single,high.school,no,yes,no
4746,21,student,single,unknown,no,no,no
2590,21,admin.,single,high.school,no,no,no
10859,21,blue-collar,single,basic.9y,no,yes,no
4393,21,student,single,high.school,no,no,no
5300,21,services,single,high.school,no,yes,no
4317,21,student,single,high.school,no,no,no
4377,21,student,single,high.school,no,yes,no
4675,21,student,single,unknown,no,yes,no
5347,21,services,single,high.school,no,yes,no
4674,21,student,single,unknown,no,no,no
11425,21,self-employed,single,university.degree,no,yes,yes
2567,21,admin.,single,high.school,no,no,no
10892,21,blue-collar,single,basic.4y,no,no,no
4154,21,student,single,high.school,no,no,no
4671,21,student,single,basic.9y,no,yes,yes
4544,21,student,single,high.school,no,no,no
3243,21,admin.,single,high.school,no,yes,no
3378,21,admin.,single,university.degree,no,yes,no
5836,21,services,single,high.school,no,no,no
4209,21,student,single,high.school,no,no,no
5901,21,services,single,high.school,no,no,no
9807,21,blue-collar,single,basic.9y,no,unknown,unknown
4669,21,student,single,high.school,no,yes,yes
13341,21,admin.,married,unknown,no,yes,no
4652,21,student,single,high.school,no,yes,no
5565,21,services,single,high.school,no,yes,yes
4622,21,student,single,high.school,no,yes,no
5986,21,services,single,unknown,no,yes,no
6959,21,technician,single,professional.course,no,no,no
4330,21,student,single,high.school,no,no,no
4593,21,student,single,basic.9y,no,yes,no
4701,21,student,single,high.school,no,yes,no
5823,21,services,single,high.school,no,yes,no
10864,21,blue-collar,single,basic.9y,no,no,no
249,21,admin.,single,basic.9y,no,yes,yes
4592,21,student,single,basic.9y,no,no,no
3314,21,admin.,single,high.school,no,no,no
4392,21,student,single,high.school,no,no,no
4565,21,student,single,university.degree,no,yes,no
4400,21,student,single,university.degree,no,no,no
4533,21,student,single,high.school,no,no,yes
4747,21,student,single,unknown,no,no,no
6118,21,housemaid,single,high.school,no,no,no
33577,21,blue-collar,married,basic.9y,no,no,no
4439,21,student,single,high.school,no,yes,yes
4538,21,student,single,high.school,no,yes,no
4440,21,student,single,high.school,no,no,no
10860,21,blue-collar,single,basic.9y,no,no,no
4673,21,student,single,unknown,no,no,no
1011,21,admin.,single,high.school,no,yes,no
4331,21,student,single,high.school,unknown,no,no
4332,21,student,single,university.degree,no,yes,no
9806,21,blue-collar,single,basic.9y,no,no,no
10017,21,blue-collar,single,basic.9y,no,no,no
4327,21,student,single,high.school,unknown,yes,no
4469,21,student,single,high.school,no,no,no
4361,21,student,single,high.school,no,yes,no
1013,21,admin.,single,high.school,no,yes,no
4535,21,student,single,high.school,no,no,no
11426,21,self-employed,single,university.degree,no,yes,no
31401,21,blue-collar,married,basic.9y,no,yes,no
4686,21,student,single,basic.9y,no,no,no
5616,21,services,single,basic.9y,no,no,no
27458,21,unemployed,married,high.school,no,yes,yes
2965,21,admin.,single,high.school,no,no,yes
5564,21,services,single,high.school,no,yes,no
6567,21,management,single,university.degree,no,unknown,unknown
4334,21,student,single,high.school,no,no,no
4782,21,student,single,high.school,no,no,no
4670,21,student,single,basic.9y,no,yes,no
9106,21,unemployed,single,high.school,no,yes,no
4555,21,student,single,high.school,no,no,no
4573,21,student,single,professional.course,no,no,no
4242,21,student,single,unknown,no,yes,yes
4206,21,student,single,high.school,no,yes,no
1012,21,admin.,single,high.school,no,yes,no
4734,21,student,single,unknown,no,no,no
9808,21,blue-collar,single,basic.9y,no,unknown,unknown
4308,21,student,single,high.school,no,no,no
10863,21,blue-collar,single,basic.9y,no,yes,no
5899,21,services,single,professional.course,no,yes,yes
31378,21,blue-collar,married,basic.9y,no,yes,no
4654,21,student,single,high.school,no,yes,no
31369,21,blue-collar,married,basic.9y,no,no,no
2405,21,admin.,single,high.school,no,yes,no
4583,21,student,single,university.degree,no,yes,no
5743,21,services,single,high.school,no,no,no
4062,21,student,single,high.school,no,no,no
4699,21,student,single,high.school,no,yes,no
9100,21,unemployed,single,high.school,no,yes,no
4251,21,student,single,unknown,no,no,no
4467,21,student,single,high.school,no,no,no
5371,21,services,single,basic.9y,no,yes,no
31355,21,blue-collar,married,basic.9y,no,no,yes
31366,21,blue-collar,married,basic.9y,no,yes,no
6853,21,technician,single,professional.course,no,no,yes
4523,21,student,single,basic.9y,no,unknown,unknown
4672,21,student,single,unknown,no,yes,yes
4161,21,student,single,basic.4y,no,no,no
4676,21,student,single,unknown,no,no,no
4763,21,student,single,high.school,no,no,no
4550,21,student,single,basic.9y,no,no,no
2912,22,admin.,single,high.school,no,yes,no
5166,22,services,single,basic.4y,no,yes,no
4328,22,student,single,high.school,no,yes,yes
5928,22,services,single,professional.course,no,yes,yes
4655,22,student,single,high.school,no,no,yes
5863,22,services,single,high.school,no,no,no
3803,22,admin.,single,university.degree,no,yes,no
4358,22,student,single,high.school,no,no,no
10045,22,blue-collar,single,unknown,unknown,no,no
9993,22,blue-collar,single,basic.6y,no,no,no
28876,22,blue-collar,married,basic.4y,no,unknown,unknown
4096,22,student,single,high.school,no,no,yes
4274,22,student,single,high.school,no,no,no
4410,22,student,single,unknown,no,yes,no
4532,22,student,single,high.school,no,no,no
15333,22,admin.,married,high.school,no,yes,yes
3060,22,admin.,single,basic.9y,no,yes,yes
8527,22,technician,single,university.degree,no,no,no
4277,22,student,single,high.school,no,no,no
4412,22,student,single,unknown,no,no,no
4650,22,student,single,high.school,unknown,yes,yes
5905,22,services,single,high.school,no,yes,no
5949,22,services,single,high.school,no,no,no
4303,22,student,single,high.school,no,yes,no
8993,22,unemployed,single,high.school,no,no,no
8996,22,unemployed,single,high.school,no,yes,no
30906,22,blue-collar,married,professional.course,no,yes,no
19452,22,services,married,basic.9y,no,yes,no
4572,22,student,single,unknown,no,no,no
4553,22,student,single,professional.course,no,no,no
4526,22,student,single,high.school,no,yes,no
7027,22,technician,single,professional.course,no,no,no
9895,22,blue-collar,single,basic.9y,no,yes,no
4537,22,student,single,high.school,no,no,no
4649,22,student,single,high.school,no,yes,no
4480,22,student,single,basic.9y,no,no,no
9157,22,unemployed,single,university.degree,no,no,yes
31472,22,blue-collar,married,basic.9y,no,yes,no
4484,22,student,single,professional.course,no,yes,no
8680,22,technician,single,university.degree,no,yes,no
1245,22,admin.,single,high.school,no,yes,no
12284,22,admin.,married,high.school,no,no,no
20498,22,services,married,high.school,no,yes,no
4160,22,student,single,basic.9y,no,yes,no
4468,22,student,single,high.school,no,no,no
4543,22,student,single,basic.6y,no,yes,no
34065,22,blue-collar,married,basic.9y,no,yes,no
5617,22,services,single,high.school,no,yes,no
4359,22,student,single,high.school,no,no,no
4984,22,services,single,basic.4y,no,no,no
8570,22,technician,single,unknown,no,yes,no
11566,22,self-employed,single,professional.course,no,yes,no
9363,22,blue-collar,single,basic.9y,no,yes,no
9841,22,blue-collar,single,basic.9y,no,yes,no
11505,22,self-employed,single,university.degree,no,yes,yes
10894,22,blue-collar,single,basic.9y,no,yes,no
7135,22,technician,single,basic.9y,no,no,no
8626,22,technician,single,unknown,no,no,no
4466,22,student,single,basic.6y,no,yes,no
8758,22,technician,single,professional.course,no,yes,no
19560,22,services,married,basic.9y,unknown,no,no
4165,22,student,single,high.school,no,no,no
9258,22,blue-collar,single,basic.6y,unknown,unknown,unknown
8681,22,technician,single,university.degree,no,yes,no
9896,22,blue-collar,single,basic.9y,no,yes,no
10040,22,blue-collar,single,basic.9y,no,yes,yes
19435,22,services,married,high.school,unknown,yes,no
4541,22,student,single,basic.9y,no,no,no
4973,22,services,single,high.school,no,yes,no
9177,22,blue-collar,single,basic.9y,no,yes,no
10053,22,blue-collar,single,unknown,unknown,unknown,unknown
4720,22,student,single,basic.9y,no,no,no
24406,22,technician,married,basic.9y,unknown,no,no
30915,22,blue-collar,married,professional.course,no,yes,no
30881,22,blue-collar,married,basic.9y,no,no,no
5266,22,services,single,high.school,no,yes,no
4314,22,student,single,high.school,no,yes,no
10024,22,blue-collar,single,basic.9y,no,yes,no
9392,22,blue-collar,single,basic.6y,unknown,no,yes
10119,22,blue-collar,single,high.school,no,yes,no
4311,22,student,single,high.school,no,yes,no
5970,22,services,single,professional.course,no,no,no
8859,22,technician,single,professional.course,no,yes,no
3689,22,admin.,single,university.degree,no,no,no
4101,22,student,single,university.degree,no,yes,no
10006,22,blue-collar,single,basic.9y,no,no,no
6048,22,housemaid,single,high.school,no,yes,yes
8994,22,unemployed,single,high.school,no,no,no
4665,22,student,single,high.school,no,yes,no
4728,22,student,single,high.school,no,no,no
15354,22,admin.,married,high.school,no,no,yes
10051,22,blue-collar,single,unknown,unknown,no,no
1073,22,admin.,single,high.school,no,yes,no
4053,22,student,single,high.school,no,unknown,unknown
4069,22,student,single,high.school,no,no,yes
4360,22,student,single,high.school,no,yes,yes
8510,22,technician,single,professional.course,no,no,no
3750,22,admin.,single,university.degree,no,yes,no
4398,22,student,single,high.school,no,no,yes
10009,22,blue-collar,single,basic.4y,unknown,yes,no
10736,22,blue-collar,single,basic.9y,no,yes,no
2469,22,admin.,single,university.degree,no,no,no
4321,22,student,single,high.school,no,yes,no
4463,22,student,single,high.school,no,yes,no
5906,22,services,single,high.school,no,yes,yes
9497,22,blue-collar,single,basic.9y,no,yes,no
3298,22,admin.,single,university.degree,no,unknown,unknown
4195,22,student,single,high.school,no,yes,no
4542,22,student,single,basic.6y,no,yes,no
4641,22,student,single,unknown,no,yes,no
5037,22,services,single,basic.9y,no,no,no
5971,22,services,single,professional.course,no,no,no
4231,22,student,single,high.school,no,no,no
4371,22,student,single,basic.9y,no,no,no
9540,22,blue-collar,single,basic.6y,unknown,no,no
6447,22,management,single,university.degree,no,yes,no
4757,22,student,single,high.school,no,no,no
8600,22,technician,single,basic.9y,no,no,no
5153,22,services,single,basic.4y,no,no,yes
5927,22,services,single,professional.course,no,yes,yes
9845,22,blue-collar,single,basic.9y,no,yes,yes
1174,22,admin.,single,high.school,no,yes,no
4375,22,student,single,basic.6y,no,yes,no
5909,22,services,single,high.school,no,yes,no
10321,22,blue-collar,single,basic.4y,no,yes,no
5358,22,services,single,high.school,no,yes,no
4765,22,student,single,university.degree,no,yes,no
5996,22,services,single,professional.course,no,yes,no
4540,22,student,single,basic.9y,no,no,no
33872,22,blue-collar,married,basic.9y,no,unknown,unknown
10065,22,blue-collar,single,basic.6y,unknown,yes,no
8780,22,technician,single,professional.course,no,yes,no
4249,22,student,single,high.school,no,yes,yes
4596,22,student,single,basic.9y,no,no,no
31470,22,blue-collar,married,basic.9y,no,yes,no
4394,22,student,single,high.school,no,yes,yes
5120,22,services,single,high.school,no,no,no
4481,23,student,single,high.school,no,no,no
10837,23,blue-collar,single,professional.course,no,yes,no
10964,23,blue-collar,single,basic.9y,no,no,no
19558,23,services,married,high.school,no,no,no
4685,23,student,single,unknown,no,no,no
10962,23,blue-collar,single,basic.9y,no,yes,no
10582,23,blue-collar,single,basic.9y,no,yes,no
4739,23,student,single,professional.course,no,no,no
3006,23,admin.,single,unknown,no,yes,no
4382,23,student,single,high.school,no,no,no
5079,23,services,single,high.school,no,no,no
18660,23,services,married,basic.9y,no,no,no
33934,23,blue-collar,married,basic.9y,no,yes,no
33986,23,blue-collar,married,basic.9y,no,yes,no
2956,23,admin.,single,high.school,no,yes,no
4349,23,student,single,basic.9y,no,no,yes
9879,23,blue-collar,single,basic.9y,no,no,yes
4086,23,student,single,high.school,unknown,unknown,unknown
4585,23,student,single,basic.9y,no,yes,no
834,23,admin.,single,high.school,no,yes,no
4667,23,student,single,basic.9y,no,yes,no
5824,23,services,single,basic.9y,no,yes,no
15853,23,admin.,married,high.school,no,no,yes
24797,23,technician,married,professional.course,no,no,no
9818,23,blue-collar,single,high.school,no,no,no
4435,23,student,single,basic.9y,no,no,no
10667,23,blue-collar,single,basic.9y,no,yes,no
6472,23,management,single,university.degree,no,yes,no
2541,23,admin.,single,university.degree,no,no,no
3751,23,admin.,single,university.degree,no,yes,no
26904,23,technician,married,professional.course,no,yes,no
4462,23,student,single,high.school,no,yes,no
4732,23,student,single,basic.9y,no,yes,yes
10862,23,blue-collar,single,high.school,no,no,no
9844,23,blue-collar,single,basic.9y,no,yes,no
10624,23,blue-collar,single,basic.9y,no,yes,no
10851,23,blue-collar,single,high.school,no,yes,no
1217,23,admin.,single,professional.course,no,yes,no
7016,23,technician,single,professional.course,no,unknown,unknown
34941,23,entrepreneur,married,professional.course,no,yes,no
3306,23,admin.,single,high.school,no,no,no
5283,23,services,single,high.school,no,no,no
10570,23,blue-collar,single,basic.9y,no,no,no
10571,23,blue-collar,single,basic.9y,no,yes,no
31090,23,blue-collar,married,basic.9y,no,yes,no
4420,23,student,single,high.school,no,no,no
8557,23,technician,single,high.school,no,yes,no
10084,23,blue-collar,single,basic.9y,no,yes,no
2540,23,admin.,single,university.degree,no,no,yes
1219,23,admin.,single,professional.course,no,yes,no
4423,23,student,single,high.school,no,yes,no
10384,23,blue-collar,single,basic.4y,no,yes,no
4373,23,student,single,high.school,no,no,no
4383,23,student,single,high.school,no,no,no
8974,23,unemployed,single,university.degree,no,yes,no
1221,23,admin.,single,professional.course,no,yes,no
1241,23,admin.,single,professional.course,no,no,yes
5121,23,services,single,professional.course,unknown,no,no
5262,23,services,single,high.school,no,no,no
20413,23,services,married,high.school,no,no,no
9691,23,blue-collar,single,basic.9y,no,yes,no
9699,23,blue-collar,single,basic.9y,no,no,no
9728,23,blue-collar,single,basic.4y,no,yes,no
9945,23,blue-collar,single,high.school,no,yes,no
8845,23,technician,single,professional.course,no,yes,no
10836,23,blue-collar,single,basic.4y,no,yes,no
4390,23,student,single,high.school,no,no,no
2972,23,admin.,single,high.school,no,no,no
4210,23,student,single,high.school,no,no,no
8701,23,technician,single,professional.course,no,yes,no
3912,23,retired,single,professional.course,no,yes,no
4560,23,student,single,university.degree,no,yes,no
12998,23,admin.,married,professional.course,no,no,yes
4588,23,student,single,basic.9y,no,yes,no
10074,23,blue-collar,single,basic.9y,no,no,no
29160,23,blue-collar,married,basic.9y,no,no,no
4482,23,student,single,high.school,no,no,no
3043,23,admin.,single,high.school,no,no,no
4318,23,student,single,high.school,no,no,no
6292,23,management,single,university.degree,no,no,no
30263,23,blue-collar,married,professional.course,unknown,no,no
808,23,admin.,single,high.school,no,no,no
4316,23,student,single,university.degree,no,yes,no
5206,23,services,single,high.school,no,no,no
4733,23,student,single,basic.9y,no,yes,no
9965,23,blue-collar,single,unknown,unknown,no,no
3011,23,admin.,single,high.school,no,yes,no
4940,23,services,single,high.school,no,no,no
5224,23,services,single,high.school,no,no,no
2950,23,admin.,single,high.school,no,yes,no
1237,23,admin.,single,professional.course,no,yes,no
10569,23,blue-collar,single,basic.9y,no,yes,no
18761,23,services,married,basic.9y,no,yes,no
1240,23,admin.,single,professional.course,no,no,no
4783,23,student,single,high.school,no,no,no
7176,23,technician,single,university.degree,no,yes,yes
4276,23,student,single,basic.9y,no,no,no
5337,23,services,single,high.school,no,yes,yes
5859,23,services,single,high.school,no,yes,no
9816,23,blue-collar,single,basic.9y,no,no,no
27804,23,unemployed,married,high.school,no,no,no
35105,23,entrepreneur,married,university.degree,no,yes,no
9117,23,unemployed,single,basic.9y,no,yes,no
8497,23,technician,single,high.school,no,no,no
10143,23,blue-collar,single,basic.9y,no,yes,no
2319,23,admin.,single,university.degree,no,yes,no
4207,23,student,single,university.degree,no,unknown,unknown
7052,23,technician,single,professional.course,no,yes,no
10072,23,blue-collar,single,basic.9y,no,no,no
11476,23,self-employed,single,basic.9y,no,yes,no
2320,23,admin.,single,university.degree,no,yes,no
3312,23,admin.,single,university.degree,no,no,no
10827,23,blue-collar,single,professional.course,no,yes,yes
8749,23,technician,single,university.degree,no,yes,no
28430,23,blue-collar,married,professional.course,no,yes,no
34940,23,entrepreneur,married,professional.course,no,no,no
2973,23,admin.,single,high.school,no,yes,no
29751,23,blue-collar,married,basic.9y,no,yes,no
4549,23,student,single,high.school,no,no,no
20429,23,services,married,high.school,no,yes,no
1220,23,admin.,single,professional.course,no,no,no
20532,23,services,married,basic.9y,unknown,yes,no
4298,23,student,single,high.school,no,yes,no
4939,23,services,single,high.school,no,no,no
8538,23,technician,single,professional.course,no,unknown,unknown
2576,23,admin.,single,high.school,no,yes,no
3817,23,admin.,single,university.degree,no,no,no
10884,23,blue-collar,single,basic.9y,no,no,no
10803,23,blue-collar,single,basic.4y,no,yes,yes
1152,23,admin.,single,high.school,no,yes,no
4743,23,student,single,basic.9y,no,yes,no
5182,23,services,single,high.school,no,no,no
5309,23,services,single,high.school,no,no,no
3031,23,admin.,single,professional.course,no,no,no
6289,23,management,single,university.degree,no,yes,no
10806,23,blue-collar,single,basic.4y,no,yes,no
3119,23,admin.,single,high.school,no,no,no
4775,23,student,single,high.school,no,no,yes
9917,23,blue-collar,single,basic.9y,no,no,no
30746,23,blue-collar,married,basic.9y,unknown,yes,no
2967,23,admin.,single,high.school,no,yes,no
4599,23,student,single,high.school,no,no,no
8513,23,technician,single,high.school,no,no,no
8515,23,technician,single,high.school,no,yes,no
3760,23,admin.,single,high.school,no,no,no
4448,23,student,single,high.school,no,yes,no
4772,23,student,single,high.school,no,yes,no
10139,23,blue-collar,single,basic.9y,no,yes,no
6471,23,management,single,university.degree,no,yes,no
9850,23,blue-collar,single,basic.9y,no,yes,no
2996,23,admin.,single,high.school,no,no,no
6293,23,management,single,university.degree,no,no,no
2537,23,admin.,single,university.degree,no,yes,no
2318,23,admin.,single,university.degree,no,unknown,unknown
1235,23,admin.,single,professional.course,no,yes,no
9146,23,unemployed,single,high.school,no,no,no
10850,23,blue-collar,single,high.school,no,yes,no
10898,23,blue-collar,single,high.school,no,no,no
13219,23,admin.,married,basic.9y,no,yes,no
23,23,admin.,single,university.degree,no,no,no
5117,23,services,single,high.school,no,no,no
29859,23,blue-collar,married,high.school,no,no,yes
4748,23,student,single,university.degree,no,yes,no
5448,23,services,single,high.school,no,no,yes
2544,23,admin.,single,university.degree,no,no,no
34054,23,blue-collar,married,basic.4y,no,no,no
8808,23,technician,single,professional.course,unknown,yes,yes
9947,23,blue-collar,single,high.school,no,no,no
9956,23,blue-collar,single,high.school,no,yes,no
4597,23,student,single,high.school,no,no,no
5731,23,services,single,basic.9y,unknown,yes,no
775,23,admin.,single,university.degree,no,yes,yes
1216,23,admin.,single,professional.course,no,no,no
4745,23,student,single,high.school,no,no,yes
5125,23,services,single,professional.course,unknown,no,no
6291,23,management,single,university.degree,no,yes,yes
4666,23,student,single,basic.6y,no,no,no
2543,23,admin.,single,university.degree,no,yes,no
10066,23,blue-collar,single,basic.9y,no,yes,no
1215,23,admin.,single,professional.course,no,no,no
4116,23,student,single,high.school,no,yes,no
4362,23,student,single,basic.6y,no,yes,no
6290,23,management,single,university.degree,no,no,no
9946,23,blue-collar,single,high.school,no,no,no
11470,23,self-employed,single,basic.9y,no,no,no
4738,23,student,single,professional.course,no,yes,no
5364,23,services,single,high.school,no,no,no
7136,23,technician,single,professional.course,no,no,no
4265,23,student,single,basic.9y,no,yes,yes
2909,23,admin.,single,high.school,no,yes,no
4370,23,student,single,high.school,no,yes,no
6095,23,housemaid,single,basic.4y,no,no,yes
8502,23,technician,single,high.school,no,no,yes
9578,23,blue-collar,single,basic.9y,no,yes,no
4302,23,student,single,high.school,no,yes,no
4689,23,student,single,unknown,no,no,no
6313,23,management,single,university.degree,no,yes,no
15376,23,admin.,married,high.school,no,no,no
1218,23,admin.,single,professional.course,no,no,yes
6288,23,management,single,university.degree,no,no,yes
5396,23,services,single,high.school,no,unknown,unknown
4587,23,student,single,basic.9y,no,yes,no
10747,23,blue-collar,single,basic.4y,unknown,no,yes
3761,23,admin.,single,university.degree,no,no,yes
4424,23,student,single,high.school,no,no,no
8762,23,technician,single,professional.course,no,yes,no
12468,23,admin.,married,high.school,no,yes,no
4235,23,student,single,high.school,no,yes,no
8185,23,technician,single,professional.course,no,no,yes
5223,23,services,single,high.school,no,no,no
10926,23,blue-collar,single,high.school,no,yes,no
4653,23,student,single,high.school,no,yes,no
4778,23,student,single,high.school,no,yes,no
34244,23,blue-collar,married,high.school,no,yes,no
4203,23,student,single,high.school,no,yes,no
4574,23,student,single,university.degree,no,yes,no
9906,23,blue-collar,single,high.school,unknown,yes,no
26994,23,technician,married,professional.course,no,yes,yes
33772,23,blue-collar,married,basic.6y,unknown,no,no
4173,23,student,single,basic.4y,no,yes,no
10780,23,blue-collar,single,unknown,no,no,no
8727,23,technician,single,university.degree,no,yes,no
9949,23,blue-collar,single,high.school,no,yes,no
2542,23,admin.,single,university.degree,no,yes,no
4323,23,student,single,high.school,no,yes,no
9759,23,blue-collar,single,basic.9y,no,no,no
4849,24,unknown,single,university.degree,no,yes,no
8649,24,technician,single,professional.course,no,no,no
5160,24,services,single,high.school,no,yes,no
10185,24,blue-collar,single,basic.9y,no,yes,no
10186,24,blue-collar,single,basic.9y,no,yes,no
28147,24,blue-collar,married,basic.9y,unknown,yes,no
2516,24,admin.,single,university.degree,no,yes,no
4446,24,student,single,high.school,no,no,no
5238,24,services,single,professional.course,no,yes,no
5302,24,services,single,high.school,no,no,no
8936,24,unemployed,single,university.degree,no,no,no
10089,24,blue-collar,single,unknown,no,no,no
10726,24,blue-collar,single,basic.9y,unknown,yes,yes
4004,24,student,single,university.degree,no,yes,yes
4626,24,student,single,high.school,no,yes,no
5383,24,services,single,basic.9y,no,yes,no
6624,24,technician,single,professional.course,no,yes,no
10712,24,blue-collar,single,basic.9y,no,yes,no
13428,24,admin.,married,unknown,no,yes,no
4496,24,student,single,unknown,no,yes,yes
10531,24,blue-collar,single,basic.4y,no,yes,no
4241,24,student,single,high.school,no,no,yes
4545,24,student,single,high.school,no,yes,no
2580,24,admin.,single,university.degree,no,yes,no
2603,24,admin.,single,university.degree,no,yes,no
4066,24,student,single,high.school,unknown,no,no
4075,24,student,single,basic.4y,no,no,no
6454,24,management,single,university.degree,no,yes,no
15885,24,admin.,married,high.school,no,yes,no
3182,24,admin.,single,university.degree,no,yes,no
4981,24,services,single,high.school,no,no,no
